resolution_key,entry,form,pdf_page,style,previous_line_id,next_line_id,left_fragment,right_fragment,printed,joined_candidate,hyphenated_candidate,previous_line_text,next_line_text,llm_suggestion,llm_resolved_text,llm_confidence,approved_resolution,review_status,notes
p0350-l0064|p0350-l0065|rub|down,gosok,menggosok,350,roman,p0350-l0064,p0350-l0065,rub,down,rub- down,rubdown,rub-down,hand. ~ badan dengan minyak tawon to give one’s body a rub-,"down with tawon oil. 3 to incite, stir up. ~ orang agar dia mau ",preserve_hyphen,rub-down,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0352-l0078|p0352-l0079|lagu|lagunya,gubah,gubah,352,italic,p0352-l0078,p0352-l0079,lagu,lagunya,lagu- lagunya,lagulagunya,lagu-lagunya,"gubah I menggubah to arrange, adapt, compose. Penyanyi ~ lagu-",lagunya. The singer arranged his songs.,preserve_hyphen,lagu-lagunya,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0353-l0063|p0353-l0064|digu|gatkan,gugat,menggugatkan,353,italic,p0353-l0063,p0353-l0064,digu,gatkan,digu- gatkan,digugatkan,digu-gatkan,	 menggugatkan to make a claim/demand about/for. apa yang digu-,gatkan terhadap tergugat what is demanded of the respondent.,remove_hyphen,digugatkan,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0356-l0126|p0356-l0127|dile|jang,gunung,gunung,356,italic,p0356-l0126,p0356-l0127,dile,jang,dile- jang,dilejang,dile-jang,terpeluk biawak sial good intentions lead to hell. – jua yang dile-,jang panas the rich get richer. tak ada – yang tak dapat didaki ,preserve_hyphen,dile-jang,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0356-l0128|p0356-l0129|kegunung|apian,gunung,gunung,356,bold_italic,p0356-l0128,p0356-l0129,kegunung,apian,kegunung- apian,kegunungapian,kegunung-apian,where there’s a will there’s a way. – api volcano. kegunung-,apian volcanology. – berapi volcano. – berapi yang tidur a dor,preserve_hyphen,kegunung-apian,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0363-l0027|p0363-l0028|numpang|karang,hak,hak,363,italic,p0363-l0027,p0363-l0028,numpang,karang,numpang- karang,numpangkarang,numpang-karang,ment. – nikmat hasil right of use and enjoyment. – numpang-,karang building and planting rights. – oktroi (ob) patent. – pakai ,preserve_hyphen,numpang-karang,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0363-l0042|p0363-l0043|hypoth|ecation,hak,hak,363,roman,p0363-l0042,p0363-l0043,hypoth,ecation,hypoth- ecation,hypothecation,hypoth-ecation,"appurtenant right. – tanggungan security right/interest, hypoth-",ecation. – terdaftar listed option. – tolak right of refusal. – tunggal ,remove_hyphen,hypothecation,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0363-l0082|p0363-l0083|high|court,hakim,hakim,363,roman,p0363-l0082,p0363-l0083,high,court,high- court,highcourt,high-court,judicial officer. – pidana judge in a criminal case. – tinggi high-,"court judge. – wasit arbiter, arbitrator.",preserve_hyphen,high-court,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0364-l0012|p0364-l0013|school|yard,halaman,halaman,364,roman,p0364-l0012,p0364-l0013,school,yard,school- yard,schoolyard,school-yard,factory grounds. – rumah yard. – rumput lawn. – sekolah school-,yard. – tengah inner courtyard. 2 premises. kampung – a) birth-,preserve_hyphen,school-yard,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0364-l0055|p0364-l0056|kambing|kambingnya,halau,menghalau(kan),364,italic,p0364-l0055,p0364-l0056,kambing,kambingnya,kambing- kambingnya,kambingkambingnya,kambing-kambingnya,"	 menghalau(kan) 1 to drive, herd. Petani itu menghalau kambing-",kambingnya masuk ke kandang. The farmer drove his goats into ,preserve_hyphen,kambing-kambingnya,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0367-l0006|p0367-l0007|meng|hancurleburkan,hancur,hancur,367,bold_italic,p0367-l0006,p0367-l0007,meng,hancurleburkan,meng- hancurleburkan,menghancurleburkan,meng-hancurleburkan,"– lebur/luluh/lumat a) smashed, shattered. b) dissolved. meng-",hancurleburkan and menghancurluluhkan 1 to smash/shatter ,remove_hyphen,menghancurleburkan,low,remove_hyphen,approved,LLM draft: a short unattested fragment in a bold form looks like a syllabic line break; review this morphology. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0371-l0009|p0371-l0010|post|marked,hari,hari,371,roman,p0371-l0009,p0371-l0010,post,marked,post- marked,postmarked,post-marked,"future. – pengeposan mailing day (of a letter, etc.), date post-",marked. – perhitungan → HARI hisab. – raya holiday. – sial un-,preserve_hyphen,post-marked,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0373-l0017|p0373-l0018|rs|pgi,hari,hari,373,roman,p0373-l0017,p0373-l0018,RS,PGI,RS- PGI,RSPGI,RS-PGI,– Ulang Tahun Rumah Sakit Persatuan Geréja-Geréja Injil [RS-,PGI] Cikini Anniversary Day of the Cikini Hospital of the ,remove_hyphen,RSPGI,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0375-l0011|p0375-l0012|suc|cessfulness,hasil,berhasil,375,roman,p0375-l0011,p0375-l0012,suc,cessfulness,suc- cessfulness,successfulness,suc-cessfulness,cess. kurang ~ less successful. kekurangberhasilan less suc-,"cessfulness. tidak ~ unsuccessful. ketidakberhasilan failure, ",remove_hyphen,successfulness,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0375-l0043|p0375-l0044|high|income,hasil,penghasilan,375,roman,p0375-l0043,p0375-l0044,high,income,high- income,highincome,high-income,income. negara ~ menengah/rendah/tinggi middle-/low-/high-,income country. Masalah perumahan bagi kebanyakan kaum ,preserve_hyphen,high-income,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0375-l0080|p0375-l0081|rabble|rouser,hasut,penghasut,375,roman,p0375-l0080,p0375-l0081,rabble,rouser,rabble- rouser,rabblerouser,rabble-rouser,"	 penghasut agitator, inciter, provocateur. ~ rakyat rabble-",rouser.,remove_hyphen,rabblerouser,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0375-l0113|p0375-l0114|heavy|laden,hati,hati,375,roman,p0375-l0113,p0375-l0114,heavy,laden,heavy- laden,heavyladen,heavy-laden,"aroused/mad about/infatuated. berat – a) oppressed, heavy-","laden; to fear, shrink from, be reluctant to. b) to incline toward, ",preserve_hyphen,heavy-laden,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0376-l0020|p0376-l0021|reti|cent,hati,hati,376,roman,p0376-l0020,p0376-l0021,reti,cent,reti- cent,reticent,reti-cent,"happy. sedu – sad, sorrowful, unhappy, depressed. segan – reti-","cent, reserved, not forthcoming. sejuk – cheerful, happy. sempit ",preserve_hyphen,reti-cent,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0376-l0023|p0376-l0024|pleasant|looking,hati,hati,376,roman,p0376-l0023,p0376-l0024,pleasant,looking,pleasant- looking,pleasantlooking,pleasant-looking,"memandanginya he has a pleasant personality, he is a pleasant-",looking person. dengan segala senang – with the greatest ,preserve_hyphen,pleasant-looking,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0378-l0047|p0378-l0048|all|weather,hélikopter,hélikopter,378,roman,p0378-l0047,p0378-l0048,all,weather,all- weather,allweather,all-weather,nyapu ranjau mine-sweeping helicopter. – segala cuaca all-,weather helicopter. – serang attack helicopter. – serbaguna ,preserve_hyphen,all-weather,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0380-l0028|p0380-l0029|kehéran|héranan,héran,kehéranan,380,bold,p0380-l0028,p0380-l0029,kehéran,héranan,kehéran- héranan,kehéranhéranan,kehéran-héranan,"	 kehéranan 1 surprise, amazement, astonishment. 2 (= kehéran-","héranan) stupefied; strangeness, oddity.",preserve_hyphen,kehéran-héranan,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0380-l0116|p0380-l0117|gambar|gambar,hias,menghias,380,italic,p0380-l0116,p0380-l0117,gambar,gambar,gambar- gambar,gambargambar,gambar-gambar,"on or in, embellish, garnish (cakes). Dinding itu dihiasi gambar-",gambar. The wall was decorated with pictures. Dia menghiasi ,preserve_hyphen,gambar-gambar,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0382-l0062|p0382-l0063|senin|kemis,hidup,hidup,382,italic,p0382-l0062,p0382-l0063,Senin,Kemis,Senin- Kemis,SeninKemis,Senin-Kemis,"terms, to continue to exist, endure, subsist, survive. – Senin-",Kemis to live from hand to mouth. – sesat to be led astray. yang ,preserve_hyphen,Senin-Kemis,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0382-l0125|p0382-l0126|williams|burg,hijau,hijau,382,roman,p0382-l0125,p0382-l0126,Williams,burg,Williams- burg,Williamsburg,Williams-burg,– to be an army man. gaun berwarna – telur bébék a Williams-,burg-green gown. lampu – a) green-colored traffic light used to ,remove_hyphen,Williamsburg,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0385-l0025|p0385-l0026|kehingar|bingaran,hingar,hingar,385,bold_italic,p0385-l0025,p0385-l0026,kehingar,bingaran,kehingar- bingaran,kehingarbingaran,kehingar-bingaran,"hingar – bingar noise, hubbub, tumult, uproar; → INGAR. kehingar-","bingaran noisiness, noise, tumult, tumultuousness, boister",preserve_hyphen,kehingar-bingaran,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0386-l0079|p0386-l0080|menghitamputi|hkan,hitam,hitam,386,bold_italic,p0386-l0079,p0386-l0080,menghitamputi,hkan,menghitamputi- hkan,menghitamputihkan,menghitamputi-hkan,been decided. menghitam-memutihkan and menghitamputi-,"hkan to do as one likes with, be in charge of, control. – sabak ",remove_hyphen,menghitamputihkan,low,remove_hyphen,approved,LLM draft: a short unattested fragment in a bold form looks like a syllabic line break; review this morphology. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0387-l0021|p0387-l0022|com|mencing,hitung,terhitung,387,roman,p0387-l0021,p0387-l0022,com,mencing,com- mencing,commencing,com-mencing,"less, innumerable, numberless. 2 ~ mulai/sejak tanggal com-","mencing on, as of, taking effect on, effective, dating from, ",remove_hyphen,commencing,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0388-l0029|p0388-l0030|hom|pim,hompimpa,hompimpa,388,italic,p0388-l0029,p0388-l0030,hom,pim,hom- pim,hompim,hom-pim,hompimpa a children’s game for three players. They all chant hom-,pim-pa and on the last syllable they each hold out a hand face up ,preserve_hyphen,hom-pim,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0388-l0142|p0388-l0143|in|terred,hormat,kehormatan,388,roman,p0388-l0142,p0388-l0143,in,terred,in- terred,interred,in-terred,visa ~ courtesy visa. dikebumikan dengan penuh ~ to be in-,"terred with full honors. ~ prajurit soldier’s honor. 2 honor, rep-",remove_hyphen,interred,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0389-l0125|p0389-l0126|connect|edness,hubung,terhubung,389,roman,p0389-l0125,p0389-l0126,connect,edness,connect- edness,connectedness,connect-edness,donesia is connected to the Internet. keterhubungan connect-,"edness, relatedness, relationship. Pemilihan adalah éksprési ",preserve_hyphen,connect-edness,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0390-l0036|p0390-l0037|majikan|buruh,hubung,perhubungan,390,italic,p0390-l0036,p0390-l0037,majikan,buruh,majikan- buruh,majikanburuh,majikan-buruh,affinity. ~ langsung point-to-point communication. ~ majikan-,buruh labor relations. ~ perdagangan trade relations.,preserve_hyphen,majikan-buruh,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0390-l0082|p0390-l0083|menghu|janpanaskan,hujan,hujan,390,bold_italic,p0390-l0082,p0390-l0083,menghu,janpanaskan,menghu- janpanaskan,menghujanpanaskan,menghu-janpanaskan,"steady rain. – panas rain with sunshine, sun shower. menghu-",janpanaskan to expose to all sorts of weather. – peluru hail of ,preserve_hyphen,menghu-janpanaskan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0392-l0076|p0392-l0077|héwan|héwan,huni,penghuni,392,italic,p0392-l0076,p0392-l0077,héwan,héwan,héwan- héwan,héwanhéwan,héwan-héwan,houses finished and occupied. Pulau itu tidak ~ kecuali héwan-,héwan. That island is not inhabited by men but rather by animals. ,preserve_hyphen,héwan-héwan,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0393-l0002|p0393-l0003|menghuruf|besarkan,huruf,huruf,393,bold_italic,p0393-l0002,p0393-l0003,menghuruf,besarkan,menghuruf- besarkan,menghurufbesarkan,menghuruf-besarkan,benar consonant. – besar uppercase/capital letter. menghuruf-,"besarkan to capitalize, write s.t. in uppercase letters. ",preserve_hyphen,menghuruf-besarkan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0397-l0114|p0397-l0115|ma|cassar,ikan,ikan,397,roman,p0397-l0114,p0397-l0115,Ma,cassar,Ma- cassar,Macassar,Ma-cassar,"fish, Mystacoleucus padangensis. – bulu ayam k.o. anchovy, Ma-","cassar red fish, Coilia spp., etc. – buntal puffer, globe-fish, Cray-",remove_hyphen,Macassar,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0397-l0115|p0397-l0116|cray|racion,ikan,ikan,397,italic,p0397-l0115,p0397-l0116,Cray,racion,Cray- racion,Crayracion,Cray-racion,"cassar red fish, Coilia spp., etc. – buntal puffer, globe-fish, Cray-","racion immaculatus. – buru k.o. decorative fish, Chanda ",remove_hyphen,Crayracion,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0397-l0120|p0397-l0121|whale|like,ikan,ikan,397,roman,p0397-l0120,p0397-l0121,whale,like,whale- like,whalelike,whale-like,"fish. – duri catfish, Arius, spp. – duyung dugong, a large whale-","like mammal, sea cow, manatee, Dugong dugon. – ékor kuning ",preserve_hyphen,whale-like,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0398-l0058|p0398-l0059|fisher|ies,ikan,perikanan,398,roman,p0398-l0058,p0398-l0059,fisher,ies,fisher- ies,fisheries,fisher-ies,tawar sea and land/freshwater fishery. ~ rakyat artisinal fisher-,ies. ahli ~ piscatologist.,preserve_hyphen,fisher-ies,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0398-l0079|p0398-l0080|mengikat|satukan,ikat,ikat,398,bold_italic,p0398-l0079,p0398-l0080,mengikat,satukan,mengikat- satukan,mengikatsatukan,mengikat-satukan,"waistcloth, belt, girdle; → SABUK I. – satu a tied bundle. mengikat-",satukan to tie/fasten together into a bundle. – teguh tie firmly. ,preserve_hyphen,mengikat-satukan,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0400-l0042|p0400-l0043|gés|pérnya,ikut,mengikuti,400,italic,p0400-l0042,p0400-l0043,gés,pérnya,gés- pérnya,géspérnya,gés-pérnya,Ia diikuti Polsus KA berseragam dengan borgol tercantél di gés-,pérnya. He was followed by a uniformed Special Policeman of ,remove_hyphen,géspérnya,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0402-l0063|p0402-l0064|mengimbal|produksikan,imbal,imbal,402,bold_italic,p0402-l0063,p0402-l0064,mengimbal,produksikan,mengimbal- produksikan,mengimbalproduksikan,mengimbal-produksikan,– hasil yield. – produksi counter production. mengimbal-,produksikan to offset. – swadaya matching grant.,preserve_hyphen,mengimbal-produksikan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0402-l0099|p0402-l0100|well|balanced,imbang,seimbang,402,roman,p0402-l0099,p0402-l0100,well,balanced,well- balanced,wellbalanced,well-balanced,umum general equilibrium theory. berkeseimbangan to be well-,"balanced. perseimbangan balance, equilibrium, harmony. pe-",preserve_hyphen,well-balanced,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0402-l0100|p0402-l0101|pe|nyeimbang,imbang,seimbang,402,bold,p0402-l0100,p0402-l0101,pe,nyeimbang,pe- nyeimbang,penyeimbang,pe-nyeimbang,"balanced. perseimbangan balance, equilibrium, harmony. pe-","nyeimbang balancer, balancing, matching. kekuatan ~ matching ",remove_hyphen,penyeimbang,low,remove_hyphen,approved,LLM draft: a short unattested fragment in a bold form looks like a syllabic line break; review this morphology. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0403-l0044|p0403-l0045|mengiming|imingi,iming,iming,403,bold,p0403-l0044,p0403-l0045,mengiming,imingi,mengiming- imingi,mengimingimingi,mengiming-imingi,The prize offered is really enticing for the public. mengiming-,imingi to allure/entice/tempt. Tidak sedikit wartawan yang hi-,preserve_hyphen,mengiming-imingi,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0406-l0018|p0406-l0019|memba|hasaindonésiakan,Indonésia,Indonésia,406,bold_italic,p0406-l0018,p0406-l0019,memba,hasaindonésiakan,memba- hasaindonésiakan,membahasaindonésiakan,memba-hasaindonésiakan,kabar berbahasa – an Indonesian-language newspaper. memba-,hasaindonésiakan to translate into Indonesian; → MENGINDONÉ-,preserve_hyphen,memba-hasaindonésiakan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0409-l0081|p0409-l0082|runny|nosed,ingus,ingusan,409,roman,p0409-l0081,p0409-l0082,runny,nosed,runny- nosed,runnynosed,runny-nosed,have to lose. anak/bocah ~ young whippersnapper. 2 runny-,nosed. 3 bluetongue (a disease of cattle).,preserve_hyphen,runny-nosed,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0410-l0120|p0410-l0121|singapore|malaysia,Insimal,Insimal,410,roman,p0410-l0120,p0410-l0121,Singapore,Malaysia,Singapore- Malaysia,SingaporeMalaysia,Singapore-Malaysia,Indonesia-Singapore-,Malaysia.,preserve_hyphen,Singapore-Malaysia,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0410-l0130|p0410-l0131|su|perintending,insinyur,insinyur,410,roman,p0410-l0130,p0410-l0131,su,perintending,su- perintending,superintending,su-perintending,mining engineer. – pertanian agricultural engineer. – séksi su-,perintending engineer. – tambang mining engineer.,remove_hyphen,superintending,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0414-l0074|p0414-l0075|seirin|gan,iring,iring,414,bold_italic,p0414-l0074,p0414-l0075,seirin,gan,seirin- gan,seiringan,seirin-gan,"(with), accompanying. tidak ~ in disharmony. ketidak-seirin-","gan disharmony. menyeiringkan to attend, accompany.",remove_hyphen,seiringan,low,remove_hyphen,approved,LLM draft: a short unattested fragment in a bold form looks like a syllabic line break; review this morphology. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0415-l0067|p0415-l0068|towns|people,isi,isi,415,roman,p0415-l0067,p0415-l0068,towns,people,towns- people,townspeople,towns-people,"marriage portion, dowry. – kota inhabitants of a town, towns-",people. – kotor gross tonnage. – muatan contents. – negeri popu-,preserve_hyphen,towns-people,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0415-l0084|p0415-l0085|stur|dily,isi,berisi,415,roman,p0415-l0084,p0415-l0085,stur,dily,stur- dily,sturdily,stur-dily,(of s.o.’s physique). pemuda yang berbadan gempal ~ a stur-,"dily built young man. 3 to carry, have ... in it, contain, include. ",remove_hyphen,sturdily,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0415-l0100|p0415-l0101|senggang|nya,isi,mengisi,415,italic,p0415-l0100,p0415-l0101,senggang,nya,senggang- nya,senggangnya,senggang-nya,"to fill up (the time), kill/pass (time). untuk ~ waktu senggang-","nya to pass his free time. ~ kesibukan to keep o.s. busy, fill up ",preserve_hyphen,senggang-nya,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0419-l0087|p0419-l0088|berja|batan,jabat,jabatan,419,bold,p0419-l0087,p0419-l0088,berja,batan,berja- batan,berjabatan,berja-batan,State Department. sejabatan working in the same office. berja-,batan to hold office. ,preserve_hyphen,berja-batan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0419-l0101|p0419-l0102|dis|embarkment,jabat,pejabat,419,roman,p0419-l0101,p0419-l0102,dis,embarkment,dis- embarkment,disembarkment,dis-embarkment,official empowered to draw up land deeds. ~ pendaratan dis-,embarkment officer. ~ penghubung liaison officer. ~ penilai ,remove_hyphen,disembarkment,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0419-l0105|p0419-l0106|mempeja|bat,jabat,pejabat,419,bold_italic,p0419-l0105,p0419-l0106,mempeja,bat,mempeja- bat,mempejabat,mempeja-bat,s.o. in a temporary position. b) provisional official. mempeja-,bat-sementarakan to make s.o. a caretaker. ~ teras key official. ,remove_hyphen,mempejabat,low,remove_hyphen,approved,LLM draft: a short unattested fragment in a bold form looks like a syllabic line break; review this morphology. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0420-l0004|p0420-l0005|to|gethers,jabur,jabur,420,roman,p0420-l0004,p0420-l0005,to,gethers,to- gethers,togethers,to-gethers,"jabur II jaburan (Jv) snacks, cookies ( presented at various get-to-","gethers, particularly at recitation evenings during the Fasting ",remove_hyphen,togethers,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0424-l0084|p0424-l0085|lingkar|luar,jalan,jalan,424,italic,p0424-l0084,p0424-l0085,lingkar,luar,lingkar- luar,lingkarluar,lingkar-luar,a) circuit. b) ring road. – lingkar-dalam inner ring road. – lingkar-,luar outer ring road. – lingkungan secondary road. – lintang lat-,preserve_hyphen,lingkar-luar,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0424-l0139|p0424-l0140|in|congruent,jalan,sejalan,424,roman,p0424-l0139,p0424-l0140,in,congruent,in- congruent,incongruent,in-congruent,other girl who is more appropriate to be your wife. tidak ~ in-,"congruent. ~ dengan in reference to (the news you just told me, ",preserve_hyphen,in-congruent,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0426-l0078|p0426-l0079|projec|tiles,jalur,jalur,426,roman,p0426-l0078,p0426-l0079,projec,tiles,projec- tiles,projectiles,projec-tiles,yaran bébas innocent passage. – peluru trajectory of projec-,"tiles. – pemisah median, divider (between opposing lanes of ",remove_hyphen,projectiles,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0428-l0001|p0428-l0002|co|maker,jamin,penjamin,428,roman,p0428-l0001,p0428-l0002,co,maker,co- maker,comaker,co-maker,board. ~ émisi (éfék) (equities) underwriter. ~ pendamping co-,maker.,preserve_hyphen,co-maker,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
